,nombre_partido,ano,Unnamed:0,codigo_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
0,ALIANZA NACIONAL POPULAR - ANAPO,1974.0,167.0909090909091,19610001.0,0.0,1.0,1.0,0.0022661170676278,0.1092685815812851,0.4259061334452743,0.0407707273998853,17455.0,6542.0,5870.0,937.0,2897.0,6604.0,1432.0,2950.0,2222.0,3822.0,2910.0,697.0,214.0,7177.0,465.0,306.0,3477.0,1838.0,258.0,316.0,517.0,,1948.0,37005.0,47.16930144575057,17.846236995000673,10.328334008917714,19.394676395081746,5.264153492771248,0.9837662337662336,1.0
1,ALIANZA NACIONAL POPULAR - ANAPO,1994.0,246.0,19610001.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
2,ALIANZA NACIONAL POPULAR - ANAPO,1998.0,247.0,19610001.0,0.0,1.0,1.0,2.79385495728354e-18,0.0038167938931296,0.0068702290076335,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
3,ALIANZA NACIONAL POPULAR - ANAPO,2002.0,249.0,19610001.0,119022.0,1.0,0.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
4,ALIANZA RESERVA ACCION CIVICA,1994.0,92.0,19940067.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
5,"ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA, DEPORTE, EDUCACION Y SALUD - PARTIDO AFROVIDES",2010.0,262.0,20100007.0,0.0,1.0,1.0,2.304977268133593e-67,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
6,ASOCIACION DE ESTUDIANTES AFROCOLOMBIANOS DE LA FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA - AEAFUAC,2002.0,261.0,20020026.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
7,CAMBIO DEMOCRACIA MALCON,1994.0,158.0,19940065.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
8,COALICION AMPLIA DE SALVACION REGIONAL - CASAR,1991.0,124.0,19910019.0,0.0,1.0,1.0,3.568781805391961e-21,0.0,0.0,0.0,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
9,COALICION CAMARA ANTIOQUIA.  CAMBIO RADICAL Y COLOMBIA SIEMPRE,2002.0,41.0,20020053.0,0.0,0.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
10,COALICION CAMARA CALDAS.  CAMBIO RADICAL Y CONVERGENCIA POPULAR,2002.0,1.0,20020056.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
11,COALICION CAMARA CALDAS.  CAMBIO RADICAL Y SALVACION NACIONAL,2002.0,256.0,20020058.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
12,COALICION CAMARA CAQUETA.  PARTIDO CONSERVADOR Y PARTIDO POPULAR,2002.0,185.0,20020063.0,0.0,1.0,1.0,0.0025002418358139,0.0711610486891385,0.3375731435949561,0.0408590234454398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
13,COALICION CAMARA CAQUETA.  PARTIDO LIBERAL Y MOVIMIENTO CIVICO INDEPENDIENTE,2002.0,175.0,20020090.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
14,COALICION CAMARA CASANARE.  MOVIMIENTO COMUNAL Y COMUNITARIO Y CAMBIO RADICAL,2002.0,227.0,20020062.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
15,COALICION CAMARA CUNDINAMARCA.  PARTIDO CONSERVADOR Y SOMOS COLOMBIA,2002.0,231.0,20020088.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
16,COALICION CAMARA CUNDINAMARCA.  PARTIDO LIBERAL Y SOMOS COLOMBIA,2002.0,148.0,20020100.0,0.0,1.0,1.0,0.0542489494144369,0.1910112359550561,0.3061361767856698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
17,COALICION CAMARA LA GUAJIRA.  PARTIDO LIBERAL Y PARTIDO CONSERVADOR,2002.0,68.0,20020096.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
18,COALICION CAMARA MAGDALENA.  PARTIDO CONSERVADOR Y PARTIDO LIBERAL,2002.0,6.0,20020087.0,0.0,1.0,1.0,1.2871665429304063e-05,0.0561797752808988,0.211435552420118,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
19,COALICION CAMARA NORTE DE SANTANDER.  PARTIDO CONSERVADOR - MOVIMIENTO EQUIPO COLOMBIA Y PARTIDO POPULAR,2002.0,132.0,20020067.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
20,COALICION CAMARA NORTE DE SANTANDER.  PARTIDO LIBERAL Y PARTIDO CONSERVADOR,2002.0,20.0,20020098.0,0.0,1.0,1.0,0.0024723585461195,0.0224719101123595,0.3102638555737912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
21,COALICION CAMARA QUINDIO.  PARTIDO LIBERAL - PARTIDO CONSERVADOR Y MOVIMIENTO UNION CRISTIANA UC,2002.0,241.0,20020074.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
22,COALICION CAMARA RISARALDA.  PARTIDO LIBERAL Y MOVIMIENTO VAMOS COLOMBIA,2002.0,83.0,20020101.0,0.0,1.0,1.0,0.0542489494144369,0.1910112359550561,0.3061361767856698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
23,COALICION CAMARA SANTANDER.  ALTERNATIVA SANTANDEREANA - AS,2018.0,78.0,20180042.0,20189.0,1.0,1.0,1.03675191411348e-298,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909092,0.3143939393939394
24,COALICION CAMARA SANTANDER.  PARTIDO CONSERVADOR Y MOVIMIENTO EQUIPO COLOMBIA,2002.0,9.0,20020086.0,0.0,0.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
25,COALICION CAMARA VALLE DEL CAUCA.  MOVIMIENTO SI COLOMBIA Y MOVIMIENTO NACIONAL,2002.0,150.0,20020138.0,0.0,0.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
26,COALICION CAMARA VALLE DEL CAUCA.  PARTIDO LIBERAL Y CONVERGENCIA POPULAR CIVICA,2002.0,178.0,20020136.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
27,COALICION LISTA DE LA DECENCIA.  PARTIDO ALIANZA SOCIAL INDEPENDIENTE - UNION PATRIOTICA Y MOVIMIENTO MAIS,2018.0,106.2,20180008.0,58056.4,1.0,1.0,4.3296780143172575e-177,0.0152091254752851,0.0152091254752851,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909092,0.3143939393939394
28,COALICION SENADO.  MOV. CAMBIO RADICAL Y CONVERGENCIA POPULAR CIVICA,2002.0,226.0,20020022.0,82571.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
29,COALICION SENADO.  MOVIMIENTO COLOMBIA SIEMPRE Y CAMBIO RADICAL,2002.0,238.0,20020008.0,72346.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
30,COALICION SENADO.  MOVIMIENTO COMUNAL Y COMUNITARIO Y MOVIMIENTO CAMBIO RADICAL,2002.0,247.0,20020017.0,72571.0,1.0,1.0,0.0542489494144369,0.1910112359550561,0.3061361767856698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
