,Nombres_completos,ano,codigo_partido,nombre_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,Vivienda,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,INF,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
0,ADOLFO LEON RENGIFO SANTIBAÑEZ,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,32520.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
265,ADRIANA FRANCO CASTAÑO,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,20275.0,1,0,0.0049598094997379,0.1931818181818181,0.3268991282689912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
530,ALBA LUZ PINILLA PEDRAZA,2010.0,20050001.0,POLO DEMOCRATICO ALTERNATIVO,21076.0,1,1,2.24224971476098e-28,0.0454545454545454,0.0454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
795,ALBEIRO VANEGAS OSORIO,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,7197.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
1060,ALEJANDRO CARLOS CHACON CAMARGO,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,32897.0,1,0,0.0049598094997379,0.1931818181818181,0.3268991282689912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
1325,ALEXANDER LOPEZ MAYA,2010.0,20050001.0,POLO DEMOCRATICO ALTERNATIVO,42283.0,1,1,2.24224971476098e-28,0.0454545454545454,0.0454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
1590,ALEXANDRA MORENO PIRAQUIVE,2010.0,20000036.0,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,0.0,1,1,2.7212368487026303e-46,0.0113636363636363,0.0113636363636363,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
1855,ALFREDO BOCANEGRA VARON,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,15943.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
2120,ALFREDO GUILLERMO MOLINA TRIANA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,17704.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
2385,ALFREDO RAFAEL DELUQUE ZULETA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,24453.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
